,0
0,난 지금 한국남녀가 왜 싸우는지 알겠음 
1,스압주의)어릴때 고딩때 현재 61키로 
2,남자도 여자한테 말 실수하고...(1) 
3, 여성분들 매달 꾸밈비 얼마나...(3) 
4,야 이 단어 갑자기생각안나는...(6) 
5,휴가끝났다.....(1) 
6,문쟁니 솔직히 최순실 보다 일 못해 
7,너무 외롭고 힘든데 실제친구하실분있나요? 
8, 제가 문제인가요....(1) 
9,재력 대물림되는거 너무부럽다 
10, 남들이 돈 얼마나벌고 얼마나 쓰는지... 
11,막말이 심한 엄마와 매일 싸...(3) 
12, 누굴 좋아해본게 처음인데 
13,지방대 로스쿨 가기 힘든가요?? 
14,요즘은 프리허그 하는 사람 없겠지(1) 
15, 이 관계를 이어나가야 하나 
16,대충 1020 망했다는 얘기 .. 
17,쌍수 할까 말까ㅠ 
18,사촌동생들이 애들인데 ㅜㅜ(1) 
19,나같은호9는없다..또있는사람?(1) 
20, 일상 보고서 애인 유무 알 수 있어? 
21,술마시고 나서 
22,남친엄마랑 밥먹다 울었음 ㅠㅠ(3) 
23, 알바 나가는 당일에 취소되는거(2) 
24,"간호학과,간호사잡음 ㅈㄴ많은데(2) "
25, 오 실시간 랭킹에 이낙연글 
26,전신거울 이 숫자는 뭐야?(1) 
27,띠동갑 연애 어떻게 생각해 ?(6) 
28,노총각  면하려면  아반떼면  충분하다 
29,연상녀 왜사귐? 
30,노총각 면하려면 무조건 벤츠...(6) 
31, 누나의 가짜기억 때문에 짜증나요 
32, 어릴적부터 나를 힘들게 했던...(2) 
33, 국민들에게 충격이었던 재난재...(328) 
34,너무외롭고힘든데 실제친구하실...(1) 
35,내 코 백만불짜리코 ㅇㅈ ?(18) 
36, 친했다가 멀어진 친구들이 단...(1) 
37,손절해야 되는 친구(4) 
38,[ㅋㅋㅋㅋㅋ] 할때 좋은척하기 이제 ㅈㄴ 귀찮음(2) 
39,우리가 욕 해야할 민족은 인...(2) 
40,미드는 울궈먹기 안하나 
41, 안녕하세요 고1입니다 ㅠㅠ(3) 
42, 근데 동남아애들 왤캐 한국인...(3) 
43,너무 외롭고 힘든데 실제친구하실분있나요? 
44, 도수치료 받는데 설레는데 
45,이제 스무살인데 루이까또즈 ...(2) 
46,하 알바 2시간도 안돼서 짤렸다(11) 
47, 3등급 간호학과 ㅆㄱㄴ??(3) 
48," 20살 대학생, 살아갈 자신...(2) "
49,연애하는데 궁극적인 이유는 ...(3) 
50,제발 도와주세요 ㅜㅜ(1) 
51, 알바갈때 명품백 
52,친구와 의절
